Index,Incoming Calls,Answered Calls,Answer Rate,Abandoned Calls,Answer Speed (AVG),Talk Duration (AVG),Waiting Time (AVG),Service Level (20 Seconds),Answer_Speed_Segundos,Talk_Duration_Segundos,Waiting_Time_Segundos,Answer_Rate_Decimal,Service_Level_Decimal
1,217,204,94.01%,13,0:00:17,0:02:14,0:02:45,76.28%,17,134,165,0.9401,0.7628
2,200,182,91.00%,18,0:00:20,0:02:22,0:06:55,72.73%,20,142,415,0.91,0.7273000000000001
3,216,198,91.67%,18,0:00:18,0:02:38,0:03:50,74.30%,18,158,230,0.9167000000000001,0.743
4,155,145,93.55%,10,0:00:15,0:02:29,0:03:12,79.61%,15,149,192,0.9355,0.7961
5,37,37,100.00%,0,0:00:03,0:02:06,0:00:35,97.30%,3,126,35,1.0,0.973
6,315,304,96.51%,11,0:00:18,0:01:35,0:02:37,77.17%,18,95,157,0.9651000000000001,0.7717
7,252,244,96.83%,8,0:00:13,0:01:50,0:02:02,82.00%,13,110,122,0.9682999999999999,0.82
8,213,205,96.24%,8,0:00:10,0:02:10,0:03:22,88.10%,10,130,202,0.9623999999999999,0.8809999999999999
9,219,200,91.32%,19,0:00:15,0:02:18,0:06:12,79.45%,15,138,372,0.9131999999999999,0.7945
10,371,348,93.80%,23,0:00:19,0:01:40,0:03:29,73.63%,19,100,209,0.938,0.7363
11,166,164,98.80%,2,0:00:12,0:02:10,0:02:46,81.33%,12,130,166,0.988,0.8133
12,32,32,100.00%,0,0:00:02,0:02:03,0:00:03,100.00%,2,123,3,1.0,1.0
13,231,222,96.10%,9,0:00:08,0:01:49,0:02:18,86.46%,8,109,138,0.961,0.8645999999999999
14,205,197,96.10%,8,0:00:07,0:01:52,0:02:48,92.61%,7,112,168,0.961,0.9261
15,338,313,92.60%,25,0:00:13,0:01:51,0:03:40,80.06%,13,111,220,0.9259999999999999,0.8006
16,180,174,96.67%,6,0:00:13,0:02:18,0:03:26,83.80%,13,138,206,0.9667,0.838
17,226,211,93.36%,15,0:00:20,0:02:04,0:04:53,76.23%,20,124,293,0.9336,0.7623000000000001
18,226,212,93.81%,14,0:00:10,0:02:03,0:02:45,84.44%,10,123,165,0.9381,0.8443999999999999
19,45,44,97.78%,1,0:00:02,0:02:04,0:00:55,97.78%,2,124,55,0.9778,0.9778
20,218,194,88.99%,24,0:00:26,0:02:43,0:06:28,68.98%,26,163,388,0.8898999999999999,0.6898000000000001
21,187,174,93.05%,13,0:00:15,0:02:16,0:04:39,81.52%,15,136,279,0.9305,0.8151999999999999
22,191,184,96.34%,7,0:00:10,0:02:09,0:03:40,85.64%,10,129,220,0.9634,0.8564
23,188,174,92.55%,14,0:00:15,0:02:25,0:03:09,76.88%,15,145,189,0.9255,0.7687999999999999
24,154,148,96.10%,6,0:00:10,0:02:27,0:03:36,85.06%,10,147,216,0.961,0.8506
25,166,150,90.36%,16,0:00:18,0:02:26,0:04:38,76.83%,18,146,278,0.9036,0.7683
26,58,57,98.28%,1,0:00:04,0:02:26,0:00:58,94.83%,4,146,58,0.9828,0.9483
27,160,153,95.63%,7,0:00:10,0:02:23,0:02:45,84.91%,10,143,165,0.9562999999999999,0.8491
28,86,79,91.86%,7,0:00:32,0:02:43,0:04:40,61.63%,32,163,280,0.9186,0.6163000000000001
29,180,170,94.44%,10,0:00:23,0:02:31,0:05:45,77.53%,23,151,345,0.9444,0.7753
30,210,192,91.43%,18,0:00:26,0:02:16,0:05:35,67.46%,26,136,335,0.9143000000000001,0.6746
31,163,157,96.32%,6,0:00:14,0:02:19,0:02:55,81.37%,14,139,175,0.9632,0.8137000000000001
32,143,140,97.90%,3,0:00:15,0:02:20,0:04:43,82.52%,15,140,283,0.9790000000000001,0.8251999999999999
33,57,55,96.49%,2,0:00:06,0:02:03,0:01:50,91.23%,6,123,110,0.9649,0.9123
34,179,172,96.09%,7,0:00:13,0:02:17,0:03:23,82.49%,13,137,203,0.9609000000000001,0.8249
35,194,184,94.85%,10,0:00:24,0:02:24,0:03:19,70.10%,24,144,199,0.9484999999999999,0.701
36,201,196,97.51%,5,0:00:15,0:02:16,0:04:53,81.59%,15,136,293,0.9751000000000001,0.8159000000000001
37,218,189,86.70%,29,0:00:32,0:02:37,0:08:04,57.41%,32,157,484,0.867,0.5740999999999999
38,194,190,97.94%,4,0:00:16,0:02:22,0:02:02,81.77%,16,142,122,0.9793999999999999,0.8177
39,227,219,96.48%,8,0:00:15,0:02:44,0:03:55,83.63%,15,164,235,0.9648,0.8362999999999999
40,52,52,100.00%,0,0:00:09,0:02:16,0:00:52,94.23%,9,136,52,1.0,0.9423
41,385,370,96.10%,15,0:00:20,0:02:11,0:03:10,76.19%,20,131,190,0.961,0.7619
42,137,130,94.89%,7,0:00:16,0:02:26,0:09:47,75.91%,16,146,587,0.9489,0.7591
43,254,252,99.21%,2,0:00:10,0:02:08,0:01:10,91.34%,10,128,70,0.9921,0.9134
44,211,206,97.63%,5,0:00:11,0:02:24,0:04:37,87.14%,11,144,277,0.9763,0.8714
45,282,279,98.94%,3,0:00:07,0:02:18,0:01:11,93.21%,7,138,71,0.9894,0.9320999999999999
46,262,260,99.24%,2,0:00:08,0:02:31,0:01:13,90.80%,8,151,73,0.9924,0.9079999999999999
47,65,63,96.92%,2,0:00:12,0:02:22,0:02:10,85.94%,12,142,130,0.9692000000000001,0.8593999999999999
48,325,323,99.38%,2,0:00:05,0:02:13,0:01:14,96.90%,5,133,74,0.9937999999999999,0.9690000000000001
49,235,230,97.87%,5,0:00:05,0:02:19,0:00:58,96.14%,5,139,58,0.9787,0.9614
50,215,212,98.60%,3,0:00:05,0:02:14,0:00:58,95.81%,5,134,58,0.986,0.9581000000000001
51,85,85,100.00%,0,0:00:03,0:02:26,0:00:55,97.65%,3,146,55,1.0,0.9765
52,195,195,100.00%,0,0:00:05,0:02:24,0:02:13,97.44%,5,144,133,1.0,0.9743999999999999
53,188,182,96.81%,6,0:00:15,0:02:14,0:01:51,83.61%,15,134,111,0.9681000000000001,0.8361
54,58,58,100.00%,0,0:00:06,0:02:22,0:00:52,94.83%,6,142,52,1.0,0.9483
55,251,247,98.41%,4,0:00:14,0:02:16,0:01:53,83.53%,14,136,113,0.9841,0.8353
56,181,178,98.34%,3,0:00:12,0:02:24,0:01:57,86.19%,12,144,117,0.9834,0.8619
57,228,213,93.42%,15,0:00:26,0:02:16,0:03:07,63.56%,26,136,187,0.9342,0.6356
58,165,163,98.79%,2,0:00:09,0:02:25,0:02:20,90.24%,9,145,140,0.9879000000000001,0.9024
59,185,179,96.76%,6,0:00:17,0:02:17,0:02:33,78.57%,17,137,153,0.9676,0.7857
60,172,164,95.35%,8,0:00:18,0:02:27,0:04:09,77.06%,18,147,249,0.9534999999999999,0.7706000000000001
61,57,51,89.47%,6,0:00:07,0:01:47,0:03:40,90.57%,7,107,220,0.8946999999999999,0.9057
62,200,192,96.00%,8,0:00:10,0:02:18,0:02:49,86.43%,10,138,169,0.96,0.8643000000000001
